[RTaW-SwitchEth-Csv-Format];2.0
[NodeSet]
[Name];NodeSet
[TxStackConfigs]
[QueuesTxTimings]
[Name];[Ignore Priorities];[Emission Pauses (byte)]
TxTiming;false;
[Nodes]
[Name]
ECU1
ECU2
ECU3
DM1
DM2
DM3
CAM1
CAM2
CAM3
CAM4
Display1
Display2
Display3
Display4
[EthernetTopology]
[Name];Topology
[NodeSet];NodeSet
[Routers]
[Name];[Switching (us)];[Memory (byte)]
Switch1;15;
Switch2;15;
Switch3;15;
Switch4;15;
Switch5;15;
[Wired Links]
[Name];[End1];[Interface1];[End2];[Interface2];[Speed (Mbit/s)];[Bit Traversal Time]
CAM1<->Switch1;CAM1;P1;Switch1;P1;100;
CAM2<->Switch1;CAM2;P1;Switch1;P2;100;
CAM3<->Switch1;CAM3;P1;Switch1;P3;100;
Display1<->Switch4;Display1;P1;Switch4;P1;100;
Switch4<->Switch2;Switch4;P2;Switch2;P2;100;
Switch2<->Switch1;Switch2;P3;Switch1;P4;100;
Switch4<->Dispaly2;Switch4;P0;Display2;P1;100;
ECU1<->Switch2;ECU1;P1;Switch2;P4;100;
Display3<->Switch5;Display3;P1;Switch5;P2;100;
Display4<->Switch5;Display4;P1;Switch5;P3;100;
Switch5<->Switch3;Switch5;P1;Switch3;P2;100;
Switch3<->Switch2;Switch3;P1;Switch2;P1;100;
CAM4<->Switch3;CAM4;P1;Switch3;P3;100;
ECU2<->Switch3;ECU2;P1;Switch3;P4;100;
ECU3<->Switch3;ECU3;P1;Switch3;P5;100;
DM3<->Switch3;DM3;P1;Switch3;P0;1000;
DM2<->Switch2;DM2;P1;Switch2;P0;100;
DM1<->Switch1;DM1;P1;Switch1;P5;100;
[GenericSyncConfig];[ClockPrecision];[ClockConfig]
[AVBTrafficClasses]
[Name];[CMI (us)];[MIF];[MFS (byte)];[SizeType]
CMI=1333us for 'Audio' (Precise ).;1333;1;404;ETHERNET_FRAME_SIZE_QTAG
CMI=250us for 'Video' (Precise ).;250;1;688;ETHERNET_FRAME_SIZE_QTAG
[EthernetComNeed]
[Name];FrameComNeed
[NodeSet];NodeSet
[SenderReceiverMap];Main Sender/Receiver Map
[TrafficClasses]
[Name];FIFO classes
[TrafficClassConfiguration]
[Name];[Priority];[SchedulingPolicy];[PolicyConfig];[Express]
C&C;6;FIFO;;false
Audio;5;FIFO;;false
Video;4;FIFO;;false
BE;1;FIFO;;false
[TxOffsetConfigs]
[Name];[TimeIsGlobal]
Random Offsets (C&C, 1000 us);true
[Frames]
[Name];[Vlan(id)];[Priority];[ArrivalType];[MinDistance (ms)];[MaxDistance (ms)];[SizeType];[Min Size (byte)];[MaxSize (byte)];[BurstSize];[Sender];[Producer];[Receiver];[Consumer];[Latency (ms)];[TxOffset (ms)]
CC1;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM2;;Display3;;10;4.000000
CC2;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM2;;Display4;;10;5.000000
CC3;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM3;;CAM2;;10;9.000000
CC4;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM3;;ECU1;;10;7.000000
VD3;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;720;720;20;CAM3;;Display1;;30;
CC5;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM3;;Display3;;10;6.000000
CC6;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display1;;CAM1;;10;6.000000
AD2;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;250;250;;Display1;;Display2;;5;
AD3;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;300;300;;Display1;;CAM1;;5;
CC7;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display2;;ECU3;;10;5.000000
AD4;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;300;300;;ECU1;;DM1;;10;
VD4;;4;PeriodicBursts;16.666;;AVTP_PAYLOAD_H264_CVF;740;740;50;ECU1;;Display2;;20;
CC8;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU1;;CAM2;;10;6.000000
AD5;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;250;250;;ECU1;;CAM4;;10;
VD5;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;723;723;30;Display3;;DM2;;30;
AD6;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;300;300;;Display3;;DM1;;10;
CC9;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display3;;DM3;;10;2.000000
CC9;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display3;;Display2;;10;2.000000
VD6;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;727;727;20;Display3;;CAM2;;30;
CC10;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display3;;DM2;;10;3.000000
AD7;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;350;350;;Display4;;ECU3;;5;
CC11;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display4;;Display3;;10;3.000000
CC11;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;Display4;;DM2;;10;3.000000
CC12;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM4;;ECU1;;10;5.000000
VD7;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;729;729;35;CAM4;;Display4;;30;
VD8;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;726;726;35;CAM4;;ECU1;;30;
AD8;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;350;350;;CAM4;;Display2;;5;
VD9;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;733;733;40;ECU2;;CAM4;;30;
CC13;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU2;;Display2;;10;7.000000
CC14;;6;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU3;;CAM1;;10;9.000000
CC15;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU3;;CAM2;;10;1.000000
CC15;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU3;;CAM4;;10;1.000000
AD9;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;300;300;;ECU3;;CAM2;;10;
AD10;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;250;250;;ECU3;;DM3;;5;
CC16;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU3;;ECU2;;10;2.000000
CC16;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;ECU3;;Display1;;10;2.000000
CC17;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;DM3;;CAM4;;10;8.000000
VD10;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;720;720;45;DM3;;Display3;;30;
CC18;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;DM3;;DM2;;10;6.000000
CC18;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;DM3;;DM1;;10;6.000000
CC19;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;DM2;;CAM2;;10;8.000000
CC19;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;DM2;;DM1;;10;8.000000
VD11;;4;PeriodicBursts;16.666;;AVTP_PAYLOAD_H264_CVF;740;740;50;DM1;;ECU3;;20;
[ComPatterns]
[ComPattern]
[ComPattern]
[ComPattern]
[ComPattern]
[ComPatternsConfigs]
[ComPatternsConfig]
[Name];TFTP
[ComPatternConfigs]
TFTP(UC1);Cfg0
TFTP(UC21);Cfg0
TFTP(UC28);Cfg0
TFTP(UC30);Cfg0
[EthernetRouting]
[Name];Routing
[Topology];Topology
[ComNeed];FrameComNeed
[SenderReceiverMap];Main Sender/Receiver Map
[Type];TREE_PATHS
[Routing Paths]
[Frames]
TFTP1_DAT;DM3;Switch3;Switch2;DM2
TFTP1_ACK;DM2;Switch2;Switch3;DM3
BE4;DM3;Switch3;Switch2;Switch4;Display1
BE5;Display1;Switch4;Switch2;Switch3;DM3
BE6;DM3;Switch3;ECU3
BE1;CAM1;Switch1;DM1
TFTP2_DAT;DM1;Switch1;Switch2;Switch3;ECU3
TFTP2_ACK;ECU3;Switch3;Switch2;Switch1;DM1
TFTP3_DAT;ECU3;Switch3;DM3
TFTP3_ACK;DM3;Switch3;ECU3
TFTP4_DAT;ECU3;Switch3;Switch2;Switch1;DM1
TFTP4_ACK;DM1;Switch1;Switch2;Switch3;ECU3
BE2;ECU1;Switch2;Switch3;DM3
BE2;ECU1;Switch2;Switch3;ECU3
BE2;ECU1;Switch2;DM2
BE2;ECU1;Switch2;Switch4;Display1
BE3;DM2;Switch2;Switch3;DM3
BE3;DM2;Switch2;Switch3;ECU3
BE3;DM2;Switch2;Switch4;Display1
TFTP1_RRQ;DM2;Switch2;Switch3;DM3
TFTP2_RRQ;ECU3;Switch3;Switch2;Switch1;DM1
TFTP3_RRQ;DM3;Switch3;ECU3
TFTP4_RRQ;DM1;Switch1;Switch2;Switch3;ECU3
AD1;CAM1;Switch1;Switch2;ECU1
VD1;CAM1;Switch1;Switch2;Switch3;ECU3
VD2;CAM2;Switch1;Switch2;Switch3;Switch5;Display4
CC1;CAM2;Switch1;Switch2;Switch3;ECU2
CC1;CAM2;Switch1;Switch2;Switch3;Switch5;Display3
CC2;CAM2;Switch1;Switch2;Switch3;Switch5;Display4
CC3;CAM3;Switch1;CAM2
CC4;CAM3;Switch1;Switch2;ECU1
VD3;CAM3;Switch1;Switch2;Switch4;Display1
CC5;CAM3;Switch1;Switch2;Switch3;Switch5;Display3
CC6;Display1;Switch4;Switch2;Switch1;CAM1
AD2;Display1;Switch4;Display2
AD3;Display1;Switch4;Switch2;Switch1;CAM1
CC7;Display2;Switch4;Switch2;Switch3;ECU3
AD4;ECU1;Switch2;Switch1;DM1
VD4;ECU1;Switch2;Switch4;Display2
CC8;ECU1;Switch2;Switch1;CAM2
AD5;ECU1;Switch2;Switch3;CAM4
VD5;Display3;Switch5;Switch3;Switch2;DM2
AD6;Display3;Switch5;Switch3;Switch2;Switch1;DM1
CC9;Display3;Switch5;Switch3;DM3
CC9;Display3;Switch5;Switch3;Switch2;Switch4;Display2
VD6;Display3;Switch5;Switch3;Switch2;Switch1;CAM2
CC10;Display3;Switch5;Switch3;Switch2;DM2
AD7;Display4;Switch5;Switch3;ECU3
CC11;Display4;Switch5;Display3
CC11;Display4;Switch5;Switch3;Switch2;DM2
CC12;CAM4;Switch3;Switch2;ECU1
VD7;CAM4;Switch3;Switch5;Display4
VD8;CAM4;Switch3;Switch2;ECU1
AD8;CAM4;Switch3;Switch2;Switch4;Display2
VD9;ECU2;Switch3;CAM4
CC13;ECU2;Switch3;Switch2;Switch4;Display2
CC14;ECU3;Switch3;Switch2;Switch1;CAM1
CC15;ECU3;Switch3;Switch2;Switch1;CAM2
CC15;ECU3;Switch3;CAM4
AD9;ECU3;Switch3;Switch2;Switch1;CAM2
AD10;ECU3;Switch3;DM3
CC16;ECU3;Switch3;ECU2
CC16;ECU3;Switch3;Switch2;Switch4;Display1
CC17;DM3;Switch3;CAM4
VD10;DM3;Switch3;Switch5;Display3
CC18;DM3;Switch3;Switch2;DM2
CC18;DM3;Switch3;Switch2;Switch1;DM1
CC19;DM2;Switch2;Switch1;CAM2
CC19;DM2;Switch2;Switch1;DM1
VD11;DM1;Switch1;Switch2;Switch3;ECU3
[EthernetComConfig]
[Name];[EthernetRouting];[TxTiming];[TrafficClasses];[Blocking (byte)];[FrameSchedule];[SignalFramePacking];[ServiceFrameMap];[ComPatternsConfig]
1 ComConfig: priorities;Routing;TxTiming;FIFO classes;;;;;TFTP
